Product_Name,Product_Link,Product_Price,Review,Rating
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,"Design can be better as it's all plastic frame and back.
Rest is all good❤️",5.0
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,Vary nice,5.0
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,Good 👍,4.0
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,"Pros:
1. Performance powered by SD 7 gen 3 is good for this price. I don't play much games but it can run some heavy games smoothly
2. Camera : Main camera performs good in day light (not expected much but its good). Night shots are average
3. Display : Very good for content consumption, i mostly use it for Netflix (comes with HDR support)
4. Battery : Its excellent i get around 7 8 hrs of SOT(screen on time) + 100W fast charging 0 to 100% in 30 32 mins.

Cons:
1. No Dolby atmos
2. No NFC
3. Video recording only upto 4k 30fps that too from back camera
4. 5g bands are less as compared to other brands which offers around 15 bands(although i didn't face any problem while calling)
5. Comes with 2 years of promised OS updates only",5.0
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,"Nice camera
And phone",5.0
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,"Awesome Phone at a Price
Comes with a Powerful Processor and Bigger Battery",4.0
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,"Fast Charging
Best Performance
Light Weight..All In one Fabulous One plus Love It..🥰🥰🥰",5.0
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,Best Phone in this Segment,5.0
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,Good,4.0
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-256-gb/p/itm5a09089114afb?pid=MOBGZZGY8FRH5Y7R&lid=LSTMOBGZZGY8FRH5Y7RCCECDG&marketplace=FLIPKART&q=mobile+phone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_12_na_na_na&iid=95b8af58-0e35-4dfe-adff-00c012b27058.MOBGZZGY8FRH5Y7R.SEARCH&ssid=9in80iwtnk0000001731655802598&qH=37695f7554f510f0,25701,"Date: 21st April, 2024. First impression: very positive. The phone is smooth and no lag at all in the UI or in any of the apps installed. However, I did have a bizarre experience once, the phone's home screen got stuck and I had to turn off the screen once and it got resolved. Nothing serious but yes it did happen ONCE. Other than that nothing to make any fuss over, you can go for it blindly. You will be happy with the purchase.",5.0
