Product_Name,Product_Link,Product_Price
"MOTOROLA Edge 50 (Koala Grey, 256 GB)",https://www.flipkart.com/motorola-edge-50-koala-grey-256-gb/p/itm31f5f025267eb?pid=MOBH2Q5YDBQAZEZ5&lid=LSTMOBH2Q5YDBQAZEZ5NJN25F&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBH2Q5YDBQAZEZ5.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹27,999
₹32,99915% off"
"Motorola Edge 50 Neo (PANTONE Poinciana, 256 GB)",https://www.flipkart.com/motorola-edge-50-neo-pantone-poinciana-256-gb/p/itm1b6c43661a1fc?pid=MOBHFHDRZJP6FHPZ&lid=LSTMOBHFHDRZJP6FHPZ0HNLSP&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBHFHDRZJP6FHPZ.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹22,999
₹29,99923% off"
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB)",https://www.flipkart.com/motorola-edge-50-pro-5g-125w-charger-caneel-bay-256-gb/p/itm1603f674e2178?pid=MOBH2YWHMKHAFHZF&lid=LSTMOBH2YWHMKHAFHZFUTQD0D&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBH2YWHMKHAFHZF.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹31,999
₹41,99923% off"
"Motorola Edge 50 Pro 5G with 125W Charger (Vanilla Cream, 256 GB)",https://www.flipkart.com/motorola-edge-50-pro-5g-125w-charger-vanilla-cream-256-gb/p/itmcf93f5887df59?pid=MOBH2YWHUNBFDHPW&lid=LSTMOBH2YWHUNBFDHPWMRBJU3&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBH2YWHUNBFDHPW.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹31,999
₹41,99923% off"
"Motorola Edge 50 Ultra 5G (Forest Grey, 512 GB)",https://www.flipkart.com/motorola-edge-50-ultra-5g-forest-grey-512-gb/p/itm075d34e492ff5?pid=MOBGZZACEMCTCHWY&lid=LSTMOBGZZACEMCTCHWY3WRTEM&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBGZZACEMCTCHWY.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹52,999
₹64,99918% off"
"Motorola Edge 50 Ultra 5G (Peach Fuzz, 512 GB)",https://www.flipkart.com/motorola-edge-50-ultra-5g-peach-fuzz-512-gb/p/itma2eaf0d31ce43?pid=MOBGZZACSNEDW84P&lid=LSTMOBGZZACSNEDW84PSGUXYD&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBGZZACSNEDW84P.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹52,999
₹64,99918% off"
"Motorola Edge 50 Ultra 5G (Nordic Wood, 512 GB)",https://www.flipkart.com/motorola-edge-50-ultra-5g-nordic-wood-512-gb/p/itm2505749d54461?pid=MOBGZZACJFVMHKZG&lid=LSTMOBGZZACJFVMHKZGNIFCK7&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBGZZACJFVMHKZG.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹52,999
₹64,99918% off"
"Motorola Edge 50 Pro 5G with 125W Charger (Black Beauty, 256 GB)",https://www.flipkart.com/motorola-edge-50-pro-5g-125w-charger-black-beauty-256-gb/p/itmf7f6e88ef68e8?pid=MOBGXFXYMH8CGDMM&lid=LSTMOBGXFXYMH8CGDMMTODP5W&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBGXFXYMH8CGDMM.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹31,999
₹41,99923% off"
"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)",https://www.flipkart.com/motorola-edge-50-fusion-marshmallow-blue-128-gb/p/itmf88eea5799a27?pid=MOBGXTYZEZSZQE7W&lid=LSTMOBGXTYZEZSZQE7WCXS6AO&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBGXTYZEZSZQE7W.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹22,999
₹25,99911% off"
"Motorola Edge 50 Fusion (Hot Pink, 256 GB)",https://www.flipkart.com/motorola-edge-50-fusion-hot-pink-256-gb/p/itm93d002e8a2eb1?pid=MOBGXTYZZBUPYFEC&lid=LSTMOBGXTYZZBUPYFECU3ECBQ&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBGXTYZZBUPYFEC.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹24,999
₹27,99910% off"
